# North Dakota Launch Site (Up to date)
# 574 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (39 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-9.7831,0,9.7831,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3755,127.71,0.73127,NaN,336.16,NaN,0.0058528,615323,0.77176,0,0.51312,0,0.35401,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0017148
0.01,0,0,-9.7599,0,9.7599,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3755,127.71,0.73127,NaN,336.16,NaN,0.0058322,613154,1.5733,0,0.51338,0,0.35427,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0023444
0.02,0,0,-9.7366,0,9.7366,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3755,127.71,0.73127,NaN,336.16,NaN,0.0058116,610986,2.3748,0,0.51364,0,0.35453,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0029324
0.03,0,0,-9.7134,0,9.7134,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.9,127.71,0.73127,NaN,336.16,NaN,0.005791,608817,3.1763,0,0.5139,0,0.35479,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0035165
0.04,0,0,-9.6902,0,9.6902,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.9,127.71,0.73127,NaN,336.16,NaN,0.0057703,606649,3.9778,0,0.51417,0,0.35506,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0040341
0.05,0,0,-9.667,0,9.667,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.9,127.71,0.73127,NaN,336.16,NaN,0.0057497,604480,4.7793,0,0.51443,0,0.35532,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.004566
0.06,0,0,-9.6438,0,9.6438,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.9,127.71,0.73127,NaN,336.16,NaN,0.0057923,608961,5.5808,0,0.51389,0,0.35477,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0050184
0.07,0,0,-9.6206,0,9.6206,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.8,127.71,0.73127,NaN,336.16,NaN,0.005835,613442,6.3823,0,0.51334,0,0.35423,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0054737
0.08,0,0,-9.5974,0,9.5974,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.8,127.71,0.73127,NaN,336.16,NaN,0.0058776,617923,7.1838,0,0.51281,0,0.3537,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0059199
0.09,0,0,-9.5742,0,9.5742,0,0,0,0,0,0,47,-97,9.8054,90,0,0,0,34536,3754.8,127.71,0.73127,NaN,336.16,NaN,0.0059202,622404,7.9853,0,0.51227,0,0.35316,0.039107,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29.2,669.66,90,0,NaN,9.5075,916.06,337.06,0.01,0.0063549
