# Mach-breaker (Up to date)
# 1236 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,22.069,0,22.069,0,0,0,0,0,0,47,97,9.8072,90,0,0,0,12952,4781.4,2.4326,0.074888,NaN,140.15,NaN,0.0058692,254707,412.88,0,0.96785,0,0.6065,0.24135,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.16,81.073,90,0,NaN,13.326,983.04,339.37,0.01,2.8887e-4
0.01,0.0011035,0.22069,85.822,0.22069,85.822,0,0,0,0,0,0,47,97,9.8072,83.595,0,0,0,12952,4781.4,2.4326,0.074888,NaN,140.15,NaN,0.0058292,252970,1238.6,6.0288e-5,0.9688,0.003179,0.60745,0.24135,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1951e-5,10.16,81.073,90,0,NaN,13.326,983.04,339.37,0.01,3.8434e-4
0.02,0.0076026,1.0792,146.97,1.0792,146.97,0,0,0,0,0,0,47,97,9.8072,60.913,0,0,0,12948,4776.7,2.4323,0.074883,NaN,140.15,NaN,0.0065413,283876,2029.9,0.0052494,0.95304,0.21981,0.59168,0.24135,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0734e-4,10.16,81.073,90,0,NaN,13.326,983.04,339.37,0.01,4.8129e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.025745,2.5494,166.09,2.5494,166.09,0,0,0,0,0,0,47,97,9.8072,36.899,0,0,0,12942,4771.2,2.4319,0.074876,NaN,140.15,NaN,0.0093936,407657,2276.5,0.040643,0.90734,0.82527,0.54597,0.24135,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5357e-4,10.16,81.073,90,0,NaN,13.326,983.04,339.37,0.01,5.7932e-4
0.04,0.059547,4.2112,170.73,4.2112,170.73,0,0,0,0,0,0,47,97,9.8072,24.15,0,0,0,12934,4763.1,2.4314,0.074867,NaN,140.14,NaN,0.013599,590147,2335.2,0.11033,0.86589,1.069,0.50451,0.24136,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1886e-4,10.16,81.073,90,0,NaN,13.325,983.04,339.37,0.01,6.9424e-4
0.05,0.1102,5.9196,175.41,5.9196,175.41,0,0,0,0,0,0,47,97,9.8072,17.462,0,0,0,12924,4753.2,2.4307,0.074855,NaN,140.14,NaN,0.018285,793531,2394,0.20277,0.83604,1.0866,0.47463,0.24137,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8879e-4,10.16,81.073,90,0,NaN,13.325,983.03,339.37,0.01,8.1217e-4
0.06,0.17817,7.6748,180.07,7.6748,180.07,0,0,0,0,0,0,47,97,9.8072,13.641,0,0,0,12914,4743.2,2.43,0.074843,NaN,140.13,NaN,0.023271,1009887,2452.5,0.3122,0.81367,1.033,0.45221,0.24139,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6337e-4,10.16,81.073,90,0,NaN,13.325,983.02,339.37,0.01,9.2814e-4
0.07,0.26393,9.4767,182.75,9.4767,182.75,0,0,0,0,0,0,47,97,9.8072,11.122,0,0,0,12904,4733.3,2.4293,0.074831,NaN,140.13,NaN,0.028459,1234998,2485.3,0.43806,0.79621,0.96914,0.43469,0.24142,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4259e-4,10.16,81.073,90,0,NaN,13.324,983.01,339.37,0.01,0.0010441
0.08,0.36784,11.305,184.07,11.305,184.07,0,0,0,0,0,0,47,97,9.8072,9.3593,0,0,0,12894,4723,2.4286,0.074818,NaN,140.12,NaN,0.033762,1465138,2500.4,0.58352,0.78219,0.91725,0.4206,0.24145,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011245,10.16,81.073,90,0,NaN,13.323,983,339.37,0.01,0.0011561
0.09,0.4901,13.147,185.39,13.147,185.39,0,0,0,0,0,0,47,97,9.8072,8.0684,0,0,0,12884,4712.5,2.4279,0.074806,NaN,140.12,NaN,0.039127,1697952,2515.5,0.75657,0.77772,0.88549,0.41604,0.24148,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013077,10.16,81.073,90,0,NaN,13.323,982.99,339.37,0.01,0.0012481
0.1,0.63085,15.002,186.71,15.002,186.71,0,0,0,0,0,0,47,97,9.8072,7.083,0,0,0,12873,4701.9,2.4272,0.074793,NaN,140.11,NaN,0.044546,1933088,2530.7,0.95856,0.7778,0.86556,0.41602,0.24152,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014922,10.16,81.073,90,0,NaN,13.322,982.97,339.37,0.01,0.0013346
0.11,0.79021,16.871,187.78,16.871,187.78,0,0,0,0,0,0,47,97,9.8072,6.2223,0,0,0,12862,4691.3,2.4265,0.07478,NaN,140.11,NaN,0.050006,2.17e6,2542.6,1.1845,0.77789,0.84879,0.416,0.24157,0.12033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001678,10.16,81.073,90,0,NaN,13.321,982.95,339.37,0.01,0.0014409
0.12,0.96831,18.75,188.5,18.75,188.5,0,0,0,0,0,0,47,97,9.8072,5.528,0,0,0,12852,4680.5,2.4257,0.074767,NaN,140.1,NaN,0.055507,2408650,2550.1,1.4374,0.77799,0.83598,0.41597,0.24162,0.1204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018649,10.16,81.073,90,0,NaN,13.32,982.93,339.37,0.01,0.0015472
0.13,1.1652,20.636,189.23,20.636,189.23,0,0,0,0,0,0,47,97,9.8072,4.9572,0,0,0,12841,4669.4,2.425,0.074754,NaN,140.09,NaN,0.061036,2648513,2557.4,1.7173,0.7781,0.82608,0.41595,0.24167,0.12048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020526,10.16,81.073,90,0,NaN,13.318,982.91,339.37,0.01,0.0016511
